120	323	8	35.37
102	3790	3	11.86
105	457	16	57.61
110	1099	12	78.16
104	664	6	13.27
110	897	8	39.76
2	122	19	27.41
104	740	7	19.2
479	179	3	21.21
12	2335	3	6.65
119	1126	6	38.41
524	114	7	28.76
105	1219	8	33.33
108	4	6	10.18
102	2915	3	9.74
1795	107	5	22.51
116	1221	3	12.85
918	104	3	4.48
110	1791	9	63.04
119	434	3	9.14
134	424	5	32.8
114	1089	5	24.58
102	227	65	301.96
2966	280	3	37.09
102	184	111	576.07
143	860	3	21.7
1146	101	7	13.18
2252	101	3	4.49
2786	106	3	11.4
101	2561	4	10.03
12	1834	7	25.05
101	2426	3	5.03
4336	115	4	33.58
1467	3472	5	88.14
1066	101	13	40.44
2057	101	4	7.53
4025	101	4	14.35
103	4729	3	15.27
644	101	26	97.62
158	475	4	28.51
3205	14	4	16.05
3809	101	3	8.38
1350	14	5	11.53
233	14	15	17.83
2889	101	5	16.96
111	2073	3	14.68
102	4637	3	13.37
102	2585	6	28.68
1134	123	3	16.75
4228	101	3	9.83
140	157	4	15.05
1966	14	3	6.29
988	12	6	11.14
110	4100	5	39.71
110	6122	3	22.58
162	120	22	98.66
171	114	9	18.75
108	4456	3	19.28
102	791	14	51.71
102	687	23	108.93
968	309	4	42.27
101	3698	3	8.38
136	102	48	78.7
148	300	5	32.51
102	1957	3	7.12
1199	12	4	5.8
256	195	3	18.56
1321	5106	3	52.61
611	101	13	24.48
1200	106	3	6.46
101	1391	6	12
102	3349	4	17.27
474	101	11	12.73
117	157	6	9.97
1582	101	5	9.41
102	3281	4	17.27
3447	101	3	7.27
107	2320	5	26.76
439	149	3	18.7
733	101	13	29.05
2204	106	3	10.06
101	1290	4	4.21
105	755	10	35.91
507	108	8	27.73
152	245	3	15.28
122	338	7	32.68
12	158	27	21.85
110	3134	5	34.58
374	109	3	3.89
377	1542	3	33.87
101	4165	3	8.38
106	516	17	68.71
107	620	3	4.39
102	1634	4	10.02
1460	109	3	10.97
126	113	14	7.41
110	3767	3	18.8
1346	102	4	8.56
101	2884	4	11.17
106	1286	4	11.25
101	2816	8	43.42
102	866	10	31.35
108	4351	4	29.63
102	985	10	33.98
112	647	3	7.88
121	1371	3	15.93
112	715	5	18.94
1177	185	3	27.24
8216	117	3	30.9
497	110	3	5.71
278	106	23	78.59
762	101	8	10.72
4044	106	3	14.4
125	998	7	52.22
149	2983	3	31.08
102	1093	8	25.41
107	2051	3	11.09
1166	103	3	5.88
459	101	18	36.75
102	958	4	6.16
3611	101	5	21.87
126	254	4	14.13
101	2715	3	5.65
555	110	3	6.18
2037	103	3	8.87
103	182	23	45.51
568	104	4	4.97
118	357	4	12.69
102	2226	4	12.7
410	109	4	7.62
110	1561	9	59.41
3695	16	3	25.87
158	125	6	16.62
6731	12	3	18.17
101	430	11	11.01
109	315	6	12.95
101	363	9	4.41
109	257	15	53.82
260	114	4	7.16
108	1772	5	25.25
1058	113	3	10.77
2030	107	5	24.39
159	158	4	17.2
3082	12	3	8.08
1890	12	3	5.12
430	101	17	30.08
2530	101	6	21.52
211	245	3	19.37
5799	426	3	45.66
102	1649	5	14.9
2286	14	3	6.81
12	153	67	155.33
2636	101	3	5.65
